Site,Width,Depth,Flow,AT,WT,pH,TDS,Cond,N,Ni,Nt,Phos,Mg,Ca,Crab,Shrimp,Aeglam,AeglaFe,AeglaFo
AG1KN1,9,1.7,0.47,19.3,18.6,6.76,22,45,0.09,0.13,0,0.88,3.51,0.05,NA,NA,NA,NA,NA
AG1KN2,7,1.4,0.43,19.1,18.2,6.99,17,34,0,0.11,0,0,4,0.02,4,2,24,4,22
AG1KN3,6,1.2,0.43,19.5,18.4,7.01,23,42,0,0.12,0,0,4,0.03,6,10,24,0,8
RJMHQ4,9,2.5,0.7,19.5,18.5,6.99,6,12,0.03,0.01,0.001,0.03,1.57,1.93,0,4,0,0,0
AG1KN5,3,0.7,0.4,20.9,17.4,6.99,25,50,0,0.1,0,0,4,0,1,8,8,0,1
RJMHQ6,9,2.5,0.7,20.9,18.2,6.91,9,18,0.03,0.01,0.001,0.03,1.57,1.93,0,3,0,0,0
AG1KN7,3,0.7,0.4,21.9,17,7.53,29,58,0.01,0.13,0,0.07,3.84,0,2,8,29,0,19
RJMHQ7,9,2.5,0.7,22.4,17.7,6.99,9,18,0.04,0.07,0.001,0.04,2.84,4,0,2,0,0,0
AG1KN8,2.5,0.5,0.4,19.3,18,7.54,25,54,0.03,0.12,0,0.12,4,0,5,13,26,5,17
RJMHQ8,8,2,0.7,19.6,18,6.98,11,23,0.03,0.11,0,0.03,2.66,1.09,0,2,0,0,0
AG1KN9,6,1,0.43,17.8,17.2,6.99,21,43,0.02,0.07,0,0.09,3.56,0,3,9,56,13,46
AG2KW9,6,1,0.46,18.2,17.5,7.4,23,46,0.06,0.07,0,0.11,3.43,0,NA,NA,NA,NA,NA
RJMHQ9,7,2,0.7,18,17.3,7.3,11,22,0.03,0.11,0,0.03,2.7,1.03,0,1,0,0,0
AG1KW(P)9,6,1,0,18.7,18,6.25,5,11,0.03,0,0.006,0.05,0.91,2.52,0,0,0,0,0
AG1KN10,5,1,0.4,17,18,7.2,22,44,0,0.08,0,0,4,0,9,3,44,11,2
AG2KW10,6,1,0.45,19.4,18,7.4,21,42,0.06,0.06,0,0.12,4.01,0,1,3,6,0,3
AG2KW11,6,1,0.45,19,18,7.35,22,42,0.06,0.06,0,0.11,3.98,0,0,1,2,0,1
SM362KW11,2.5,1.7,0.4,21.2,18,6.99,12,25,0,0.001,0.001,0.07,3.51,0.82,1,0,1,0,1
RJM203KW11,9,1.5,0.48,18.4,18,7.13,9,19,0.02,0.05,0,0.04,2.51,3.08,0,0,0,0,0
ABan85KW12,1,1.2,0.43,17,18,7.07,3,6,0,0,0,0.05,1.23,2.11,0,1,0,0,0
AG2KW12,6,1,0.45,18.6,18,7.37,22,42,0.05,0.07,0,0.1,4,0,0,0,0,1,0
ATob235KW12,1,0.3,0.2,21.2,18,6.87,3,7,NA,NA,NA,NA,NA,NA,0,0,0,0,0
RJG32KW12,12,5,0.55,19.3,18,7.34,16,34,0.08,0.07,0,0.15,3.55,0,0,0,0,0,0
AG2KW14,5.5,1,0.45,19,18,7.4,22,43,0.03,0.09,0,0.03,4,0,1,4,3,0,1
RJMHQ14,4,1.5,0.5,20,18,7,11,22,0.04,0.1,0,0.04,3,0.99,0,0,0,0,0
AB10KW16,1.2,0.4,0.3,26.3,18,6.92,4,9,0.01,0.02,0.001,0.08,1.26,2.11,1,5,0,0,0
RJMHQ17a,4,1.5,0.5,21.6,18,6.99,10,21,0.03,0.1,0,0.07,2.89,1.05,0,0,0,0,0
AGuyra46KE18,3,1,0.42,26.1,18,6.82,5,10,0,0.1,0.001,0.02,1.53,1.94,2,6,0,0,0
RJM275KE18,6,1.5,0.38,19.5,18,7.43,13,27,0.01,0.1,0.001,0.02,4,4,3,4,3,0,0
AG2KW19,5,1,0.38,18.9,18,7.66,31,62,0.01,0.16,0.001,0.09,3.76,0.07,2,2,0,0,3
RJMHQ19,3.9,1.3,0.45,19.3,18,6.98,10,21,0.03,0.08,0,0.06,3.11,1.01,0,0,0,0,0
AG1KN21,5,1,0.42,17.5,18,7.12,23,44,0.01,0.14,0.001,0.07,3.55,0.06,0,0,9,1,10
