year,season,seas.code,trt,plot,sample,Aphaenogaster.treatae,Brachymyrmex.depilis,Camponotus.castaneus,Crematogaster.cerasi,Crematogaster.lineolata,Crematogaster.missuriensis,Dolichoderus.plagiatus,Dorymyrmex.flavus,Forelius.pruinosus,Formica.dolosa,Hypoponera.opacior,Monomorium.minimum,Neivamyrmex.nigrescens,Neivamyrmex.opacithorax,Nylanderia.terricola,Nylanderia.trageri,Pheidole.morrisi,Strumigenys.louisianae,Tapimoma.sessile,Temnothorax.pergandei,Trachymyrmex.septentrionalis
2010,May,1,Pre-burned,6A,1,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,May,1,Pre-burned,6A,2,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2010,May,1,Pre-burned,6A,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2010,May,1,Pre-burned,6A,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2010,May,1,Pre-burned,6A,5,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,May,1,Pre-burned,6A,6,0,0,0,0,2,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0
2010,May,1,Pre-burned,6A,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,May,1,Pre-burned,6A,8,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2010,May,1,Pre-burned,6A,9,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,May,1,Pre-burned,6A,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,May,1,Pre-burned,6B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,May,1,Pre-burned,6B,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2010,May,1,Pre-burned,6B,3,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,1
2010,May,1,Pre-burned,6B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,May,1,Pre-burned,6B,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
