name,long,lat
Ursus americanus,-119.847778,37.656464
Ursus americanus,-123.608283,42.040497
Ursus americanus,-119.371777,34.416398
Ursus americanus,-104.852014,31.802717
Ursus americanus,-121.040753,39.24567
Ursus americanus,-123.243841,49.401308
Ursus americanus,-110.406442,44.868131
Ursus americanus,-116.69408,34.04067
Ursus americanus,-116.69408,34.04067
Ursus americanus,-119.833641,39.140341
Ursus americanus,-119.538181,34.4237
Ursus americanus,-116.69408,34.04067
Ursus americanus,-121.805778,48.537058
Ursus americanus,-118.701255,36.606762
Ursus americanus,-123.393158,40.932472
Ursus americanus,-121.805778,48.537058
Ursus americanus,-113.969416,46.904108
Ursus americanus,-125.534241,49.052179
Ursus americanus,-117.978012,34.156106
Ursus americanus,-117.97812,34.156628
Ursus americanus,-105.291102,39.985867
Ursus americanus,-122.695052,49.29285
Ursus americanus,-117.978225,34.156108
Ursus americanus,-118.138374,34.206416
Ursus americanus,-105.274752,39.971332
Ursus americanus,-105.292668,40.027662
Ursus americanus,-117.987135,34.174956
Ursus americanus,-108.42772,37.285436
Ursus americanus,-105.065933,39.409095
Ursus americanus,-123.22139,38.900002
Ursus americanus,-117.97867,34.156925
Ursus americanus,-122.707382,49.299867
Ursus americanus,-118.946358,34.42754
Ursus americanus,-113.787022,48.759613
Ursus americanus,-119.037166,34.616744
Ursus americanus,-119.541789,37.755074
Ursus americanus,-111.282213,45.205732
Ursus americanus,-111.347904,45.240166
Ursus americanus,-114.021765,48.574042
Ursus americanus,-120.45,39.82
Ursus americanus,-118.004643,34.155293
Ursus americanus,-119.672202,37.712977
Ursus americanus,-117.989788,34.17445
Ursus americanus,-119.186828,34.46559
Ursus americanus,-124.035089,41.324048
Ursus americanus,-118.468323,36.766726
Ursus americanus,-124.098831,41.255806
Ursus americanus,-119.796987,37.751579
Ursus americanus,-118.779638,38.45433
Ursus americanus,-121.527497,40.443813
Ursus americanus,-105.586695,40.366295
Ursus americanus,-123.495597,39.232017
Ursus americanus,-104.829581,38.144181
Ursus americanus,-119.19012,34.459171
Ursus americanus,-122.437672,38.547986
Ursus americanus,-120.406533,38.888347
Ursus americanus,-120.156877,38.214584
Ursus americanus,-116.406072,45.33371
Ursus americanus,-118.939218,34.414745
Ursus americanus,-122.914223,42.20287
Ursus americanus,-122.907205,42.196884
Ursus americanus,-122.701983,49.29997
Ursus americanus,-122.790799,42.082207
Ursus americanus,-111.319672,45.262071
Ursus americanus,-105.072834,39.411809
Ursus americanus,-111.392652,45.225433
Ursus americanus,-110.216716,31.885811
Ursus americanus,-120.305693,39.418248
Ursus americanus,-122.910794,42.19661
Ursus americanus,-123.70355,40.827484
Ursus americanus,-120.238686,39.428809
Ursus americanus,-123.28154,42.88868
Ursus americanus,-109.356506,32.005556
Ursus americanus,-125.16547,48.798436
Ursus americanus,-117.978255,34.156325
Ursus americanus,-120.050884,38.900854
Ursus americanus,-110.305436,44.948909
Ursus americanus,-109.335908,33.885711
Ursus americanus,-106.348043,35.007564
Ursus americanus,-119.195906,34.478402
Ursus americanus,-108.460426,37.27126
Ursus americanus,-110.433098,44.963655
Ursus americanus,-123.665863,47.569625
Ursus americanus,-118.555148,36.887855
Ursus americanus,-119.92495,38.692645
Ursus americanus,-121.469016,40.361527
Ursus americanus,-122.59063,38.415897
Ursus americanus,-119.614891,37.727514
