name,long,lat
Acanthemblemaria aspera,-86.996629,20.443628
Acanthemblemaria aspera,-82.95745,24.65183
Acanthemblemaria aspera,-83.00943,24.70013
Acanthemblemaria aspera,-82.9479,24.54353
Acanthemblemaria aspera,-82.99314,24.68375
Acanthemblemaria aspera,-82.85821,24.66312
Acanthemblemaria aspera,-82.90421,24.57709
Acanthemblemaria aspera,-83.00891,24.69718
Acanthemblemaria aspera,-82.81067,24.66872
Acanthemblemaria aspera,-82.80654,24.72403
Acanthemblemaria aspera,-82.92688,24.58207
Acanthemblemaria aspera,-82.92727,24.58163
Acanthemblemaria aspera,-82.95334,24.54777
Acanthemblemaria aspera,-82.93536,24.55096
Acanthemblemaria aspera,-82.93345,24.63338
Acanthemblemaria aspera,-82.86242,24.62097
Acanthemblemaria aspera,-82.81653,24.71864
Acanthemblemaria aspera,-82.88096,24.59167
Acanthemblemaria aspera,-82.88846,24.58297
Acanthemblemaria aspera,-82.78807,24.72353
Acanthemblemaria aspera,-83.02176,24.66657
Acanthemblemaria aspera,-82.81782,24.72474
Acanthemblemaria aspera,-82.87087,24.59766
Acanthemblemaria aspera,-82.99144,24.67719
Acanthemblemaria aspera,-83.01121,24.69374
Acanthemblemaria aspera,-82.90414,24.57722
Acanthemblemaria aspera,-82.79827,24.72661
Acanthemblemaria aspera,-82.98378,24.70396
Acanthemblemaria aspera,-82.8719,24.60679
Acanthemblemaria aspera,-82.9284,24.55088
Acanthemblemaria aspera,-82.93111,24.61138
Acanthemblemaria aspera,-82.80542,24.71759
Acanthemblemaria aspera,-82.81,24.72742
Acanthemblemaria aspera,-82.95708,24.64759
Acanthemblemaria aspera,-82.81803,24.72703
Acanthemblemaria aspera,-82.80657,24.72401
Acanthemblemaria aspera,-82.95765,24.6517
Acanthemblemaria aspera,-82.95693,24.64763
Acanthemblemaria aspera,-82.8225,24.65445
Acanthemblemaria aspera,-82.99974,24.69778
Acanthemblemaria aspera,-82.85437,24.72285
Acanthemblemaria aspera,-82.92924,24.64414
Acanthemblemaria aspera,-83.01299,24.68566
Acanthemblemaria aspera,-82.87161,24.59852
Acanthemblemaria aspera,-82.87232,24.60006
Acanthemblemaria aspera,-82.97283,24.61905
Acanthemblemaria aspera,-82.844,24.7132
Acanthemblemaria aspera,-82.9335,24.63332
Acanthemblemaria aspera,-82.81659,24.71884
Acanthemblemaria aspera,-82.78785,24.72367
Acanthemblemaria aspera,-82.85004,24.72208
Acanthemblemaria aspera,-82.8532,24.72291
Acanthemblemaria aspera,-82.871,24.61019
Acanthemblemaria aspera,-82.99981,24.69761
Acanthemblemaria aspera,-83.00891,24.69718
Acanthemblemaria aspera,-82.96069,24.64911
Acanthemblemaria aspera,-82.87334,24.60037
Acanthemblemaria aspera,-82.94632,24.58861
Acanthemblemaria aspera,-82.96955,24.61997
Acanthemblemaria aspera,-82.88764,24.5864
