Capture Date,Date,Site,Urba Score,CortF ng/mg,CortF ng/mm,Sex,SMI,Tarsus,Mass,Bas_Cort,Stress_Cort
25/06/2013,176,CEBC,"-2,5","66,48","6,32",M,"26,1","18,4","26,7","1,69","27,76"
11/07/2013,192,CEBC,"-2,5","55,97","5,45",F,"24,5","17,5","22,8","1,31","33,66"
19/07/2013,200,CEBC,"-2,5","44,96","4,26",F,"25,1","18,4","25,7","3,27","17,48"
22/07/2013,203,CEBC,"-2,5","55,48","4,99",M,"26,6","18,0","26,1","0,01","16,87"
22/07/2013,203,CEBC,"-2,5","62,60","5,41",M,"23,9","18,2","23,9","0,45","21,45"
22/07/2013,203,CEBC,"-2,5","82,80","8,28",M,"24,2","18,2","24,2","0,55","17,36"
05/08/2013,217,CEBC,"-2,5","50,62","4,49",F,"26,5","18,1","26,3",NA,"30,91"
05/08/2013,217,CEBC,"-2,5","35,27","3,17",M,"23,7","18,8","25,2",NA,NA
13/08/2013,225,CEBC,"-2,5","44,39","4,23",F,"25,8","18,5","26,7","1,23","25,24"
13/08/2013,225,CEBC,"-2,5","45,16","4,75",M,"25,7","18,1","25,5","0,96","18,12"
13/08/2013,225,CEBC,"-2,5","48,76","5,12",NA,"24,2","18,7","25,5",NA,NA
15/08/2013,227,CEBC,"-2,5","49,06","4,13",M,"24,7","18,0","24,2","0,02","22,37"
15/08/2013,227,CEBC,"-2,5","43,19","3,72",M,"26,7","17,6","25,1","1,59","29,64"
16/06/2013,167,VILLEFOLLET,"-1,21","54,24","4,85",M,"24,9","18,6","26,0","0,90","16,31"
07/07/2013,188,VILLEFOLLET,"-1,21","32,18","4,76",F,"26,4","18,1","26,2","1,87","18,06"
05/08/2013,217,VILLEFOLLET,"-1,21","33,60","3,44",NA,"22,9","19,0","24,9",NA,NA
18/08/2013,230,VILLEFOLLET,"-1,21","33,47","3,57",M,"23,3","19,2","25,8","0,39","6,57"
18/08/2013,230,VILLEFOLLET,"-1,21","51,02","4,73",M,"23,0","19,1","25,2","0,69","18,69"
19/08/2013,231,VILLEFOLLET,"-1,21","60,43","5,20",F,"25,2","17,9","24,5","1,00","20,20"
19/08/2013,231,VILLEFOLLET,"-1,21","37,57","3,85",M,"22,8","18,4","23,3","2,21","21,91"
05/07/2013,186,NIORT,"1,61","50,83","5,20",F,"25,4","17,6","23,9","0,43","11,55"
29/07/2013,210,NIORT,"1,61","62,64","7,01",M,"26,5","18,0","26,0",NA,"10,67"
29/07/2013,210,NIORT,"1,61","78,64","6,86",M,"24,3","17,6","22,9",NA,"12,95"
29/07/2013,210,NIORT,"1,61","46,16","4,51",F,"23,2","18,2","23,2","3,00","17,57"
01/08/2013,213,NIORT,"1,61","52,24","5,22",F,"22,5","18,8","24,0",NA,"9,80"
02/08/2013,214,NIORT,"1,61","56,28","5,35",M,"24,3","18,7","25,6","5,37","18,44"
09/08/2013,221,NIORT,"1,61","61,44","5,41",F,"26,2","17,5","24,4","1,53","15,95"
13/08/2013,225,NIORT,"1,61","61,63","5,72",F,"20,6","18,7","21,7",NA,"25,11"
13/08/2013,225,NIORT,"1,61","46,80","4,46",F,"24,3","18,4","24,9","0,78","18,10"
16/08/2013,228,NIORT,"1,61","59,55","5,52",F,"26,3","17,9","25,6","1,85","16,14"
06/08/2013,218,LAROCHELLE,"2,1","87,28","6,76",F,"25,5","17,7","24,3","0,33","24,80"
06/08/2013,218,LAROCHELLE,"2,1","72,95","5,91",F,"24,3","18,8","25,9","1,13","19,58"
06/08/2013,218,LAROCHELLE,"2,1","53,71","5,37",M,"22,5","17,9","21,9","1,61","15,20"
06/08/2013,218,LAROCHELLE,"2,1","56,06","4,76",F,"22,4","18,2","22,4","2,93","21,34"
06/08/2013,218,LAROCHELLE,"2,1","66,29","6,32",M,"26,3","17,9","25,6","0,33","10,26"
06/08/2013,218,LAROCHELLE,"2,1","56,23","6,12",M,"24,0","19,0","26,1",NA,"16,15"
14/08/2013,226,LAROCHELLE,"2,1","61,33","5,70",F,"24,2","17,4","22,3",NA,"22,76"
21/08/2013,233,LAROCHELLE,"2,1","53,27","4,00",F,"26,0","16,2","21,0","4,70","30,09"
23/08/2013,235,LAROCHELLE,"2,1","40,19","3,65",M,"25,3","19,3","28,3","0,68","15,52"
23/08/2013,235,LAROCHELLE,"2,1","81,40","6,95",F,"23,6","18,9","25,4","0,80","27,05"
23/08/2013,235,LAROCHELLE,"2,1","83,96","8,61",F,"24,7","17,4","22,8","0,93","23,19"
23/08/2013,235,LAROCHELLE,"2,1","60,63","5,41",F,"25,6","17,3","23,3","0,74","21,80"
23/08/2013,235,LAROCHELLE,"2,1","76,80","6,50",F,"25,0","17,5","23,3","4,87","32,79"
