Lyme Disease number cases 2007-2017. https://www.cdc.gov/lyme/stats/tables.html,,,,,,,,,,,,
State,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017_Confirmed,2017_Probable
Alabama,13,6,3,1,9,13,11,28,14,17,25,16
Alaska,10,6,7,7,9,4,14,5,1,6,8,2
Arizona,2,2,3,2,8,7,22,14,8,8,18,10
Arkansas,1,0,0,0,0,0,0,0,0,0,2,4
California,75,74,117,126,79,61,90,54,83,90,84,61
Colorado,0,2,0,1,0,0,0,0,0,0,4,0
Connecticut,3058,2738,2751,1964,2004,1653,2111,1719,1873,1238,1381,670
Delaware,715,772,984,656,767,507,400,341,334,391,421,187
District of Columbia,116,71,53,34,-,-,33,35,78,66,62,22
Florida,30,72,77,56,78,67,87,85,116,132,124,86
Georgia,11,35,40,10,32,31,8,4,8,4,8,0
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,9,5,4,6,3,0,14,8,3,9,15,5
Illinois,149,108,136,135,194,204,337,233,287,233,218,55
Indiana,55,42,61,62,81,64,101,100,102,127,92,50
Iowa,123,85,77,68,72,92,153,110,130,76,112,143
Kansas,8,16,18,7,11,9,18,12,11,16,13,27
Kentucky,6,5,1,5,3,8,17,11,12,16,6,14
Louisiana,2,3,0,2,1,3,0,0,2,4,8,4
Maine,529,780,791,559,801,885,1127,1169,993,1151,1424,426
Maryland,2576,1746,1466,1163,938,1113,801,957,1249,1274,1194,697
Massachusetts,2988,3960,4019,2380,1801,3396,3816,3646,2922,146,321,89
Michigan,51,76,81,76,89,80,114,93,125,159,196,95
Minnesota,1238,1046,1063,1293,1185,911,1431,896,1174,1304,1408,910
Mississippi,1,1,0,0,3,1,0,2,4,1,1,0
Missouri,10,6,3,4,5,1,1,7,2,1,2,10
Montana,4,6,3,3,9,6,16,5,2,12,4,8
Nebraska,7,8,4,7,7,5,7,6,5,10,6,8
Nevada,15,9,10,2,3,10,11,4,5,4,7,10
New Hampshire,896,1211,996,830,887,1002,1324,622,436,691,956,425
New Jersey,3134,3214,4598,3320,3398,2732,2785,2589,3932,3332,3629,1463
New Mexico,5,4,1,3,2,1,0,0,0,0,3,0
New York,4165,5741,4134,2385,3118,2044,3512,2853,3252,2623,3502,1653
North Carolina,53,16,21,21,18,27,39,27,38,32,70,225
North Dakota,12,8,10,21,22,10,12,2,15,9,12,44
Ohio,33,40,51,21,36,49,74,94,112,122,233,37
Oklahoma,1,1,2,0,2,1,1,0,0,0,0,1
Oregon,6,18,12,7,9,5,12,3,3,13,13,71
Pennsylvania,3994,3818,4950,3298,4739,4146,4981,6470,7351,8988,9250,2650
Rhode Island,177,186,150,115,111,133,444,570,564,535,595,537
South Carolina,31,14,25,19,24,35,33,20,13,25,13,8
South Dakota,0,3,1,1,2,4,3,2,5,8,4,8
Tennessee,31,7,10,6,5,2,11,7,6,7,15,32
Texas,87,105,88,55,28,33,48,20,18,31,31,27
Utah,7,3,6,3,6,2,10,5,3,12,10,15
Vermont,138,330,323,271,476,386,674,442,491,488,646,446
Virginia,959,886,698,911,756,805,925,976,1102,976,1041,616
Washington,12,22,15,12,17,13,11,8,17,14,26,11
West Virginia,84,120,143,128,107,82,116,112,243,297,503,145
Wisconsin,1814,1493,1952,2505,2408,1368,1447,991,1309,1504,1794,1206
Wyoming,3,1,1,0,1,3,1,2,0,1,3,1
