year	AR	AL	AC	BR	BL	BC	JR	JL	JC
1992	378	76	29	378	NA	29	651	NA	35
1993	427	76	28	427	76	28	717	50	30
1994	394	140	35	394	NA	35	553	NA	35
1995	554	62	36	554	62	36	697	96	36
1996	563	124	24	563	124	24	770	106	24
1997	602	48	25	34	48	25	35	52	17
1998	578	80	29	79	9	29	69	13	33
1999	611	116	34	125	14	34	161	20	33
2000	618	NA	34	174	NA	34	265	NA	33
2001	605	46	42	80	46	42	118	0	55
2002	588	95	57	85	NA	57	116	NA	70
2003	638	77	70	98	NA	70	154	NA	79
2004	677	66	73	129	66	73	191	101	63
2005	658	74	91	186	74	91	263	106	89
2006	796	93	94	305	93	94	430	129	99
2007	820	89	75	102	89	75	113	107	89
2008	928	109	71	161	109	71	157	90	44
2009	1052	125	90	124	123	90	201	89	101
2010	1093	118	80	221	118	80	228	168	64
2011	1125	155	78	228	155	78	276	198	97
2012	1207	126	71	234	36	71	253	35	83
2013	1214	150	78	125	36	78	133	32	75
2014	1243	174	93	269	174	93	245	216	98
2015	1388	215	111	292	215	111	321	248	102
2016	1556	209	104	305	209	104	201	225	91
