DayN[]	Datecode[]	Min[]	Veg[]	Plot[]	Group[]	CorrCO2[]	SoilT[]
481	1	0	1	6	1	398.18	291.1
481	1	15	1	6	1	510.06	291.1
481	1	30	1	6	1	499.62	291.1
481	1	0	1	18	2	474.52	290.8
481	1	15	1	18	2	674.17	290.8
481	1	30	1	18	2	763.96	290.8
481	1	0	1	14	3	801.9	289.3
481	1	15	1	14	3	764.36	289.3
481	1	30	1	14	3	830.51	289.3
481	1	0	1	10	4	404.05	290.8
481	1	15	1	10	4	632.96	290.8
481	1	30	1	10	4	745.95	290.8
481	1	0	1	29	5	425.96	289.3
481	1	15	1	29	5	713.51	289.3
481	1	30	1	29	5	898.6	289.3
481	1	0	1	30	6	419.56	289.3
481	1	15	1	30	6	494.7	289.3
481	1	30	1	30	6	569.47	289.3
481	1	0	1	15	7	460.75	289.6
481	1	15	1	15	7	626.81	289.6
481	1	30	1	15	7	663.36	289.6
481	1	0	1	5	8	407.81	289.6
481	1	15	1	5	8	529.18	289.6
481	1	30	1	5	8	604.37	289.6
481	1	0	1	20	9	701.8	291.1
481	1	15	1	20	9	819.36	291.1
481	1	30	1	20	9	818.55	291.1
481	1	0	1	21	10	390.56	289.3
481	1	15	1	21	10	557.28	289.3
481	1	30	1	21	10	647.56	289.3
481	1	0	1	11	11	676.44	289.6
481	1	15	1	11	11	469.13	289.6
481	1	30	1	11	11	803.02	289.6
481	1	0	1	1	12	405.27	289.6
481	1	15	1	1	12	624.82	289.6
481	1	30	1	1	12	705.72	289.6
481	1	0	1	7	13	398.77	291.1
481	1	15	1	7	13	652.92	291.1
481	1	30	1	7	13	811.22	291.1
481	1	0	1	2	14	421.09	289.3
481	1	15	1	2	14	548.09	289.3
481	1	30	1	2	14	665.73	289.3
481	1	0	1	22	15	403.49	289.3
481	1	15	1	22	15	593.94	289.3
481	1	30	1	22	15	730.07	289.3
481	1	0	1	23	16	399.94	289.3
481	1	15	1	23	16	606.28	289.3
481	1	30	1	23	16	677.65	289.3
