id,species,riffle,age,sex,length,depth,velocity,temperature,majsub,minsub,majtype,mintype
1,blennioides,1,0,m,NA,43,0.53,23.7,0.8,0.2,s,c
2,blennioides,1,0,m,2.9,28,0.47,28.1,0.7,0.3,c,sg
3,blennioides,1,1,f,3.1,8,0.39,30.2,0.6,0.4,lg,sg
4,blennioides,1,1,f,3.3,59,0.34,25.4,0.5,0.5,sg,s
5,blennioides,1,1,m,3.5,27,0.34,28,0.8,0.2,lg,c
6,blennioides,1,1,m,3.6,7,0.36,24,0.6,0.4,sg,lg
7,blennioides,1,1,m,3.7,13.5,0.61,29.4,0.6,0.4,lg,sg
8,blennioides,1,1,m,3.7,27,0.34,28,0.5,0.5,lg,sg
9,blennioides,1,1,f,3.8,11.5,0.34,30,0.6,0.4,lg,sg
10,blennioides,1,1,m,3.8,12,0.39,29.8,0.6,0.4,lg,sg
30,caeruleum,1,0,f,2.2,67,0.43,28.1,1,0,lg,z
31,caeruleum,1,0,m,2.4,3.2,0.43,30.8,0.8,0.2,lg,sg
32,caeruleum,1,0,f,2.5,3,0.39,31.3,0.7,0.3,lg,sg
33,caeruleum,1,0,m,2.5,7,0.31,23.3,0.7,0.3,sg,lg
34,caeruleum,1,0,m,2.5,56,0.34,22.1,0.5,0.5,lg,fg
35,caeruleum,1,0,f,2.6,6.8,0.36,26.3,0.8,0.2,c,sg
36,caeruleum,1,0,f,2.6,26.5,0.43,23.1,0.9,0.1,fg,sg
37,caeruleum,1,0,f,2.8,5.7,0.24,28.4,0.5,0.5,lg,sg
38,caeruleum,1,0,m,2.8,16,0.27,23,1,0,s,z
39,caeruleum,1,2,f,3.3,9.5,0.39,26.3,0.8,0.2,c,sg
40,caeruleum,1,2,f,3.3,59,0.47,22.5,0.9,0.1,sg,lg
41,caeruleum,1,1,f,3.4,6,0.58,22,0.6,0.4,lg,c
42,caeruleum,1,2,f,3.4,8,0.43,29.7,0.7,0.3,sg,lg
43,caeruleum,1,2,f,3.4,14.7,0.39,26.8,0.7,0.3,c,sg
44,caeruleum,1,2,f,3.5,31,0.43,22.1,0.5,0.5,c,sg
45,caeruleum,1,2,m,3.5,56,0.34,22.1,0.5,0.5,lg,fg
46,caeruleum,1,2,f,3.6,15,0.43,24.2,1,0,fg,z
47,caeruleum,1,2,m,3.7,10.5,0.43,23.7,0.5,0.5,c,sg
48,caeruleum,1,2,m,3.7,11.5,0.41,28.9,0.6,0.4,lg,sg
49,caeruleum,1,2,m,3.7,13.5,0.41,27.6,0.5,0.5,lg,sg
50,caeruleum,1,1,f,3.8,30,0.31,28.1,0.9,0.1,s,fg
51,caeruleum,1,2,m,3.8,8.5,0.43,21.6,0.6,0.4,c,sg
52,caeruleum,1,2,m,3.8,36,0.53,25.4,0.9,0.1,c,lg
53,caeruleum,1,1,m,3.9,24,0.43,26.3,0.7,0.3,sg,c
54,caeruleum,1,2,f,3.9,19.5,0.36,25.5,0.5,0.5,c,sg
55,caeruleum,1,2,f,3.9,40,0.39,23.1,0.9,0.1,fg,s
56,caeruleum,1,2,f,3.9,56,0.34,22.1,0.5,0.5,lg,fg
57,caeruleum,1,2,m,3.9,15,0.43,22.4,1,0,s,NA
58,caeruleum,1,2,m,3.9,21,0.39,23.7,0.6,0.4,c,sg
59,caeruleum,1,3,f,3.9,11,0.39,28.2,0.5,0.5,c,sg
60,caeruleum,1,2,m,4,11.3,0.39,27.6,0.7,0.3,c,sg
61,caeruleum,1,2,m,4,25,0.49,23.7,0.6,0.4,fg,c
62,caeruleum,1,2,f,4.1,21.5,0.31,26.5,0.7,0.3,c,fg
63,caeruleum,1,1,f,4.3,13.5,0.41,28.4,0.7,0.3,c,sg
64,caeruleum,1,2,f,4.3,13.5,0.41,28.4,0.7,0.3,c,sg
65,caeruleum,1,3,f,4.4,8,0.31,22.6,0.7,0.3,sg,lg
66,caeruleum,1,2,m,4.5,28.5,0.61,22.4,0.7,0.3,c,sg
